Collection,Title,Price (Coins),Experience (XP),Units,Total Revenue (Coins),Time (Hrs),Order
Azure Glitch,Azure Glitch Tees,680,65XP,x700,1400,2,
Azure Glitch,Azure Glitch Skirt,200,63XP,x350,700,2,
Azure Glitch,Azure Glitch Docs,400,78XP,x630,1260,2,
Azure Glitch,Azure Glitch Clip,480,72XP,x630,1260,2,
Ice Queen,Icy Tank,270,31XP,x450,900,5,
Ice Queen,Icy Purse,400,30XP,x700,1400,5,
Ice Queen,Icy Heels,330,31XP,x600,1200,5,
Ice Queen,Snowy Necklace,400,37XP,x750,1500,5,
Academy Day,Academy Day Dress,200,37XP,x350,700,2,
Academy Day,Academy Day Briefcase,480,41XP,x630,1260,2,
Academy Day,Study Hall Boots,440,35XP,x770,1540,10,
Academy Day,Academy Day Bowler,680,66XP,x700,1400,2,
Greenhouse Glam,Fern Flair Top,640,29XP,"x1,120",2240,7,
Greenhouse Glam,Leafline Shorts,600,33XP,"x1,050",2100,7,
Greenhouse Glam,Sprout Step Flats,480,27XP,x840,1680,7,
Greenhouse Glam,Spring Sprout Cuff,560,26XP,x980,1960,7,
Spring Geisha,Spring Geisha Dress,360,47XP,"x1,190",2380,10,
Spring Geisha,Spring Geisha Clogs,360,56XP,x770,1540,10,
Spring Geisha,Spring Geisha Fan,440,54XP,x840,1680,10,
Spring Geisha,Spring Geisha Band,560,50XP,x980,1960,10,
Chic Chica,Chic Deco Dresses,200,66XP,x350,700,2,
Chic Chica,Chic Deco Heels,400,60XP,x630,1260,2,
Chic Chica,Chic Deco Purses,680,47XP,x700,1400,2,
Chic Chica,Chic Deco Tear Drops,480,55XP,x630,1260,2,
Pretty In Peridot,Peridot Dresses,200,72XP,x350,700,2,
Pretty In Peridot,Peridot Pumps,400,56XP,x630,1260,2,
Pretty In Peridot,Peridot Purses,680,70XP,x700,1400,2,
Pretty In Peridot,Peridot Chokers,480,72XP,x630,1260,2,
Golden Glow,Golden Glow Dress,200,55XP,x350,700,2,
Golden Glow,Golden Glow Shoes,400,74XP,x630,1260,2,
Golden Glow,Golden Glow Clutch,680,69XP,x700,1400,2,
Golden Glow,Golden Glow Pendant,480,63XP,x630,1260,2,
Prehnite Springtime,Prehnite Dress,200,74XP,x350,700,2,
Prehnite Springtime,Prehnite Umbrella,480,42XP,x630,1260,2,
Prehnite Springtime,Prehnite Boots,400,120XP,x630,1260,2,
Prehnite Springtime,Prehnite Purse,680,48XP,x700,1400,2,
Summer Belle Bride,Summer Belle Gown,640,29XP,"x1,120",2240,7,
Summer Belle Bride,Summer Belle Shoes,600,33XP,"x1,050",2100,7,
Summer Belle Bride,Summer Belle Bouquet,480,27XP,x840,1680,7,
Summer Belle Bride,Summer Belle Tiara,560,26XP,x980,1960,7,
Peridot Princess,Peridot Gowns,360,529XP,"x1,190",2380,10,
Peridot Princess,Peridot Heels,360,510XP,x770,1540,10,
Peridot Princess,Peridot Bangles,440,469XP,x840,1680,10,
Peridot Princess,Peridot Clutches,560,6XP,x980,1960,10,
Gala Gal,Modern Gala Dresses,360,29XP,"x1,190",2380,10,
Gala Gal,Modern Gala Heels,360,26XP,x770,1540,10,
Gala Gal,Modern Gala Bracelets,440,39XP,x840,1680,10,
Gala Gal,Modern Gala Fascinators,560,32XP,x980,1960,10,
Spring Darling,Spring Darling Tops,200,54XP,x350,700,2,
Spring Darling,Spring Darling Skirts,400,54XP,x630,1260,2,
Spring Darling,Spring Darling Heels,680,44XP,x700,1400,2,
Spring Darling,Spring Darling Purses,480,59XP,x630,1260,2,
Azurite Dreams,Azurite Dress,640,29XP,"x1,120",2240,7,
Azurite Dreams,Azurite Clutch,560,26XP,x980,1960,7,
Azurite Dreams,Azurite High Heels,600,33XP,"x1,050",2100,7,
Azurite Dreams,Azurite Bracelet,480,27XP,x840,1680,7,
Shining Nights,Shining Gown,560,110XP,x980,1960,10,
Shining Nights,Shining Heels,480,95XP,x840,1680,10,
Shining Nights,Shining Stones,440,70XP,x770,1540,10,
Shining Nights,Shining Earrings,680,45XP,"x1,190",2380,10,
Ruby Lace,Red Lace Dress,560,68XP,x980,1960,10,
Ruby Lace,Red Lace Boots,440,69XP,x840,1680,10,
Ruby Lace,Red Lace Clutch,360,74XP,x770,1540,10,
Ruby Lace,Red Holiday Pearl,360,67XP,"x1,190",2380,10,
Colorful Stylings,Colorful Sundresses,480,27XP,x840,1680,7,
Colorful Stylings,Colorful Heels,600,33XP,"x1,050",2100,7,
Colorful Stylings,Colorful Necklaces,640,29XP,"x1,120",2240,7,
Colorful Stylings,Colorful Scarves,560,26XP,x980,1960,7,
Icy Inspiration,Icy Dress,480,52XP,x630,1260,2,
Icy Inspiration,Icy Pumps,680,54XP,x700,1400,2,
Icy Inspiration,Icy Stones,400,67XP,x630,1260,2,
Icy Inspiration,Icy Filigree,200,57XP,x350,700,2,
Autumn Prep,Autumn Blouse,560,208XP,x980,1960,10,
Autumn Prep,Autumn Boots,480,158XP,x840,1680,10,
Autumn Prep,Autumn Hat,440,137XP,x770,1540,10,
Autumn Prep,Ballooning Skirt,680,187XP,"x1,190",2380,10,
Garden Ballet,Garden Corset,360,189XP,"x1,190",2380,10,
Garden Ballet,Garden Tutu,360,169XP,x770,1540,10,
Garden Ballet,Garden Flats,440,49XP,x840,1680,10,
Garden Ballet,Garden Crown,560,124XP,x980,1960,10,
Ruby Red,Ruby Choker,200,503XP,x350,700,2,
Ruby Red,Ruby Dress,400,529XP,x630,1260,2,
Ruby Red,Ruby High Heels,680,510XP,x700,1400,2,
Ruby Red,Ruby Bracelet,480,469XP,x630,1260,2,
Emerald Lace,Green Lace Dress,480,68XP,x630,1260,2,
Emerald Lace,Green Lace Boots,680,69XP,x700,1400,2,
Emerald Lace,Green Lace Clutch,400,74XP,x630,1260,2,
Emerald Lace,Holiday Pearl,200,67XP,x350,700,2,
Sweet Violet,Sweet Violet Tanks,560,160XP,x980,1960,10,
Sweet Violet,Sweet Violet Packs,440,114XP,x770,1540,10,
Sweet Violet,Sweet Violet Skirts,680,91XP,"x1,190",2380,10,
Sweet Violet,Sweet Violet Heels,480,137XP,x840,1680,10,
Gushing Garnet,Garnet Gown,360,110XP,"x1,190",2380,10,
Gushing Garnet,Garnet Heels,360,95XP,x770,1540,10,
Gushing Garnet,Garnet Stones,440,70XP,x840,1680,10,
Gushing Garnet,Garnet Drops,560,45XP,x980,1960,10,
